definition,word,author,tags,up,down,date
"In a political context - In favor of large, intrusive government that violates or suppresses individual rights; characterized by a ""law and order"" approach; failing to support civil liberties and/or economic freedom in society; undemocraticIn a non-political context - Bossy, controlling, domineering",authoritarian,Lin Zhao,"[u'#libertarian', u'#statist', u'#tyrannical', u'#controlling', u'#government']",1721,1353,"February 10, 2013"
An outrageous lie.,Spicer,KathiC,[],3130,1959,"January 21, 2017"
"A toad who thinks he is a prince, devoid of any self awareness as to what an asshole he looks like to everyone around him. Possibly a narcissist slash racist slash spoiled rich kid all grown up.",Shit Gibbon,Krunkmaster 31,"[u'#shitgibbon', u'#potus l', u'#cheetolini', u'#marmalade shithead', u'#drumph', u'#tee rump', u'#trumpster fire']",3028,2207,"February 08, 2017"
Effortlessly obtained dick.,easy D,KPAXkpax,[u'#dick'],2813,1088,"February 08, 2017"
Piece Of Totally Useless Shit,POTUS,NoTnoKKKnoFUSA,[],4046,4690,"January 29, 2017"
A person's chin which lacks definition or strength of character.,bitch chin,AirplaneDonk,"[u'#pussy', u'#bitch', u'#chin', u'#weak', u'#ass', u'#trump', u'#jaw']",2417,3164,"September 25, 2010"
"adj: describes an action or person that is motivated by arrogance, self-agrandizement, and without concern for fact, consequence or responsibilty.",trumpian,Stellar One,"[u'#liar', u'#foolish', u'#childish', u'#prideful', u'#hubris', u'#sad', u'#pathetic', u'#trump', u'#fool', u'#cry baby']",2572,5130,"January 28, 2017"
One of the worst terrorist attacks that never happened.,Bowling Green Massacre,BowlerGreen,[],4105,1743,"February 03, 2017"
"An anagram or ""alternative name"" for the worst president in the history of the USA. Coined by Colin Mochrie (of Whose Line is it Anyway fame) on 20 January 2017.",lord dampnut,freepicklepleaseenquirewithin,[],3085,4649,"February 01, 2017"
"On an episode of Dr. Phil, a ""difficult"" teenage daughter, addresses the crowd using the phrase, ""Cash me outside dah.""Basically, it means, come talk to me outside so that we can sort out our issues and potentially get into a physical fight.",cash me outside howbow dah,doubletapmyass,"[u'#dr phil', u'#cash me outside', u'#howbow dah', u'#girl', u'#slang', u'#streetwise', u'#street slang', u'#bad girl']",4101,1344,"January 18, 2017"
"The seemingly friendly yank of someone's arm in an authoritative handshake truly designed to be vigorous, demeaning and disrespectful.",yankshake,postabyte,"[u'#handshake', u'#yank', u'#handshake pull', u'#jerk', u'#john boehner']",1478,1126,"February 13, 2013"
An economic system where corporations and billionaires get huge tax breaks and refunds the rest of us get chump change.,Trumponomics,theauthormarkwilkins,[],2979,4911,"January 26, 2017"
Cost of goods paid by consumers after tariff cost increases.,Trump Jumped,ClarkKent,[],2363,4430,"January 26, 2017"
"A fascist twit who overuses their Twitter, and uses it for attention and to indoctrinate the foolish. Synomous with The Orange Snowflake, a.k.a Orange Mussolini, a.ka. Orange Faced Shit-gibbon, a.k.a Donald J. Trump.",Twitler,Puppygirl ,[],3828,2724,"January 29, 2017"
"What every inhabitant of the USA is, except the Native Americans. ",immigrant,rosinbolle,"[u'#norwegians', u'#germans', u'#immigrants', u'#usa', u'#englishmen']",5929,2859,"October 22, 2006"
n. Government by the least qualified or most unprincipled people.,kakistocracy,Bryan H,[],2566,1894,"June 18, 2005"
"basically donald trump, bc he's a big 'ol white lump of overcomb + cheeto dust skin",Donald Lump,froyo666x,"[u'#donald trump', u'#republican', u'#2017', u'#usa', u'#president', u'#wtf', u'#donald', u'#trump']",3116,3555,"January 25, 2017"
a new healthcare insurance system where you automatically lose your health coverage if you are sick or poor.,trumpcare,zen velo,"[u'#insurance', u'#aca', u'#health']",3793,3656,"January 07, 2017"
"When you go to a foreign country, order a presidential suite, and get videotaped watching two prostitutes pee on each other.",Trump Treatment,Lsmei Mndeifar,"[u'#booty', u'#trump', u'#golden shower']",2562,3503,"January 24, 2017"
T.rump is a tyrant lizard with small hands and an even smaller brain,Tyrannosaurus rump,Goofball2020,"[u'#trump', u'#t.rump', u'#t. rump', u'#siberian prince', u'#orange caligula', u'#banker-lover']",3839,3568,"January 21, 2017"
"The worst of the four classifications of lies: lies, damned lies, statistics, alternative facts. Alternative facts are distinguished from the other damnable lies by the addition of gaslighting the listener.",alternative facts,Bogrimm,"[u'#kellyanne', u'#conway', u'#trump', u'#republican', u'#lies', u'#statistics']",4393,2640,"January 22, 2017"
"A large, fresh dump.",Hot Donald,DrNeptune,"[u'#trump', u'#poo', u'#shit', u'#turd']",3593,3770,"January 21, 2017"
"""The Stupidest explanation is always the right one""",Trump's Razor,thatrockydoh,[u'#trump donald trump'],2589,3480,"January 19, 2017"
A male physical attribute with implications of having a small cock. ,small hands,D-guy,"[u'#cock', u'#dick', u'#wang', u'#pecker', u'#prick']",2852,2209,"June 29, 2006"
The response for when someone is telling huge porkies.,bull mother fucking shit,Aceeeeeeeee,[],2492,1257,"January 18, 2017"
"When two mates have a mutual understanding to laugh at each others jokes, no matter how lame or awkward said joke is, therefore lessening the social failure of the bad joke.",Joke Insurance,iPutMyWordInYou,"[u'#bad joke', u'#joke fail', u'#joke', u'#insurance', u'#mate', u'#friend']",9776,2267,"August 24, 2009"
"Similar to the phrase ""just putting that out there"", but it is usually said more as suggestion, particularly when the person saying it lacks confidence that his answer or solution is correct.",Just Placing it out there,Fishywords95,[],1219,1239,"January 15, 2017"
A citizen of Nazi Germany who participated in or overlooked atrocities while denying personal moral responsibility by appeal to his submission to supposedly legitimate authority.,Good German,The Barefoot Bum,"[u'#coward', u'#nazi', u'#1984', u'#i was just following orders', u'#responsibility']",1833,1955,"June 18, 2009"
a nick name for Donald J Trump (during and after the 2016 Presidential election),orange face,beautyinthewest,"[u'#politics', u'#celebrity']",2959,2797,"January 14, 2017"
"The term ""banana republic"" refers to a country dominated by corporate interests, in which income disparity between rich and poor is extremely high, to the point that the middle class has just about disappeared, and aside from the fantastically wealthy few, practically everyone is dirt poor.A Banana Republican is a Republican who wants to lower taxes for the rich, leading to increased income disparity and bringing the USA closer to banana republic status.",Banana Republican,bluefive,"[u'#banana republic', u'#republican', u'#republicans', u'#banana republicans', u'#banana']",2508,2093,"September 28, 2010"
similar to the resting bitch face. when a guy just looks like an asshole but hes actually a nice guy with a face of a complete doucher,resting douche face,NoHablasAnglais,"[u'#resting bitch face', u'#rbf', u'#asshole', u'#maf', u'#angy']",10660,8347,"February 22, 2014"
"In BDSM terminology, refers to sensual or erotic play involving bodily fluids, typically urine, saliva, and less commonly, blood.  Considered 'edge-play', because it is obviously somewhat unhygenic.",watersports,Aileen,[],3434,1363,"April 21, 2003"
n. The act of urinating on someone for sexual pleasure.,Golden Shower,Golden Shower Boy,[],3678,1828,"July 23, 2005"
"Latin abbreviation for the literal translation of ""and shit"", specifically, ""et merda"". Just like ""etc."" (and so forth), ""i.e."" (that is), and ""e.g."" (for example), ""etm."" can be used to abbreviate ""and shit"".",etm.,Lesbrarian,"[u'#etc.', u'#and shit', u'#et cetera', u'#mierda', u'#abbreviations']",8658,2632,"April 06, 2010"
Military phrase meaning troops in place. Slang usage is when you are referring to going somewhere or being somewhere or someplace.,Boots on the Ground,B. Hanback,"[u'#boots', u'#bar', u'#someplace', u'#somewhere', u'#there']",1742,575,"February 28, 2010"
"This expression dates as far back as man has been stuffing his junk into farm animals. You fuck one goat. Meaning there are some things we do that we must carry with us, no matter the good deeds you do or the people who love you, this can all be overshadowed by one horrific deed.",you fuck one goat,Ageofchronic,"[u'#goat', u'#fuck', u'#grandpa', u'#wtf', u'#lol']",2144,1027,"January 06, 2017"
Noun. Using social media sites such as Twitter to manage foreign relations and conduct diplomatic discussions publicly.,Tweetplomacy,Tiberien,[u'#diplomacy twitter tweet transparency diplomatic'],1989,2587,"January 06, 2017"
Pull a fact out of your ass.,trump it,badbadbob,[],4486,6302,"January 05, 2017"
"When you have to call someone back but don't want to talk to them, so you wait until you know they can't talk and leave a voice mail.",Stealth-call,hbdanny,"[u'#stealth', u'#call', u'#bad news', u'#calling', u'#voice mail']",14038,3038,"March 18, 2010"
"A TSA pat-down with a ""happy landing.""",Gate Massage,MILatino,"[u'#tsa', u'#screening', u'#airport', u'#gate', u'#massage']",7774,3621,"November 26, 2010"
A slang term for a hair cut.,ears lowered,mikelikewhoa451,"[u'#ears', u'#lowered', u'#lower', u'#ear', u'#doug', u'#funny']",8008,6691,"March 16, 2007"
"voluntold:  The exact opposite of volunteering.  Always used in reference to an unpleasant task to which you have been assigned by your boss.",voluntold,Honorarius,"[u'#work', u'#boss', u'#job', u'#business', u'#employment']",5222,1543,"March 13, 2006"
An individual who talks on his or her cell phone even when doing so is rude or inconsiderate of other people.,Cellfish,I Work 99,"[u'#cellfish', u'#selfish', u'#cell phone', u'#cell phone-itis', u'#cell fuck']",13544,3823,"July 28, 2008"
When you make a decision you instantly regret.,feeling brexit,n5473c,"[u'#brexit', u'#mistake', u'#change mind', u'#whoops']",5025,5276,"December 18, 2016"
"AdjectiveA self-coined malapropism and Freudian slip by the Short-fingered Vulgarian/President-elect as he attempted to conduct sensitive US-Chinese diplomacy with a very-classy, bigly-nuanced tweet.",Unpresidented,Warren Pease,"[u'#moran', u'#make english grate again short-fingered vulgarian']",4807,6062,"December 17, 2016"
Body of assholes who assemble every four years to confirm chief executive asshole.,rectoral college,tirtle,[],10490,5256,"December 15, 2016"
To mess up extremely past the point of no return.,You Done Fucked Up,EonLover380,"[u'#botch', u'#foul', u'#goof up', u'#screw up', u'#mess up']",17198,7452,"January 02, 2015"
"If you own a sailboat, it's the wind in your sails.",Sailboat fuel,John Wesley Shepard,[],3994,2119,"December 14, 2016"
When your experience level in masturbating has reached the pinnacle of the field and have been established as an expert in the field.,doctorbating,theRealMeric,[],3989,1774,"December 16, 2016"
Extreme over reaction to personal criticism.,trumpitantrum,Protaganist ,[],4588,4495,"December 15, 2016"
When you masturbate so long in the shower that the water turns cold,Beat it till it's cold,DryBass69,[],4224,1281,"December 13, 2016"
A small penis surrounded by a ridiculous plumage of pubic hair.,Trump Stump,Piethagorus,[u'##trump #trumpstump'],5562,5071,"December 13, 2016"
Excuse to miss school for an event.,one day flu,Orgasmic Velociraptor,[],3903,894,"December 12, 2016"
Taking an incredibly toxic dump.,Take a Trump,Wessi ,"[u'#pooping', u'#shitting', u'#crapping', u'#turd', u'#dump']",4706,5518,"December 10, 2016"
The weight gained when Donald Trump was elected President Of The United States,Trump Ten,SnowLucario,[],3184,5316,"December 10, 2016"
"For people who don't know the word ""our""",are,Thrash06,"[u'#our', u'#r', u'#we', u'#ares', u'#hour']",6619,9496,"September 20, 2006"
A term used to tell someone to pray before an event.,bless it up,Mr.cornbread,[],3767,1293,"December 07, 2016"
"The sometimes frothy, usually slimy, amalgam of lubricant, stray fecal matter, and ejaculate that leaks out of the receiving partner's anus after a session of anal intercourse. Named, by popular demand and usage, after legislator Rick Santorum because of his homophobic political statements.",santorum,Bohica Zamboni,[],39281,14421,"November 27, 2003"
"A TV show, Film or situation that was not really funny or marginally funny that for whatever reason is much funnier aftwrwards.",Laughterwards,TempusfugitXXIV,[],2016,935,"December 06, 2016"
The most Southern 'fuck you' there is. Can be put at the end of a phrase to nullify any cruelty.,Bless your heart,CattheGreat,[],6375,726,"December 05, 2016"
The smell that occurs when a swamp is drained and replaced with raw sewage and other kinds of stinking waste.,trumparoma,Crawdad Nelson,[u'#sewage foul odor stench'],3447,4703,"December 02, 2016"
"An expression used in North England meaning ""I'm so tired I'm going to have to go to bed soon""",not long out of bed,Fiftypounds,[],2306,894,"December 02, 2016"
When you ejaculate so hard it destroys everything in a two mile radius.,nuclear cumsplosion,Tecthe (@EagleCheesecake),"[u'#nuclear', u'#nuke', u'#cumshot', u'#cum', u'#explosion', u'#ejaculation', u'#bukkake']",3870,3935,"December 02, 2016"
When a woman is pregnant and is keeping it a secret.,baby in the closet,Fitzgerald1,[],3465,748,"November 29, 2016"
"A self-declared follower of the Christian faith and its principles of unconditional love, helping the less fortunate and renunciation of violence and worldly goods, who also rabidly supports President-elect Donald Trump, an unabashed narcissist, racist, misogynist, xenophobe and pussy grabbing real estate con-man of shiny, gaudy buildings.",Trump Christian,Webster 2016,[],5373,6530,"November 29, 2016"
"Whoja vu is to people as Deja vu is to events.That eerie feeling you've met someone before, even though you just met them for the first time",Whoja vu,Magster Dragster,[],3014,1048,"November 29, 2016"
The fear of Donald Trump,Trumpophobia,Mijoo_Is_LIT,[],8028,3421,"November 28, 2016"
"disease earned through the chain of command in the US military, specifically, from a superior to a subordinate or a hired author",pentagonorrhea,Ro20,"[u'#pentagonorrhean', u'#petreaus', u'#allin', u'#biography', u'#military']",2034,2856,"November 14, 2012"
"A safe haven which could be limited to a closet, toilet, single room or a complete house were a male organism is able to produce semen by hand without being disturbed.",wank shelter,Dennissayshi,"[u'#wank', u'#shelter', u'#wankshelter', u'#locked up', u'#wanking', u'#fapping']",4265,677,"November 18, 2016"
"(n) Used to reference a dog's butt hole immediately prior to the dog having a bowel movement. Right before a dog has a bowel movement, their butt hole starts to expand and pucker, causing an uncanny resemblance to Donald Trump's mouth. The Trumpy Butt is a signal to the owner or dog walker that the dog is about to go. The state following Trumpy Butt is often referred to as ""Brown Eye.""",Trumpy Butt,Metaphormidable,[u'#dog butthole asshole trump shit poo poop bottom mouth butt'],3403,4697,"November 25, 2016"
This means that somebody was too loud during sex the night before.'Microwave' refers to the coitus that was had.,I Heard You Using the Microwave,#THE_QUEEN,[],3214,1091,"November 17, 2016"
"Folks. As in, a group multiple people.",folx,Ranmoth,"[u'#people', u'#crew', u'#gang', u'#group', u'#clique']",809,3154,"April 26, 2006"
"A fake, unaccredited school using Donald Trump's name that offers classes in real estate, management, negotiation, entrepreneurship, and wealth creation. They are another example of a diploma mill, like Walden University or Trinity Southern University. Their main source of advertising is from spam, which also include offers for pet medications, diet pills, software, loans, photo contests, and mortgage applications. ",Trump University,I am the Donald,"[u'#hair', u'#fake', u'#diploma mill', u'#degree mill', u'#donald trump', u'#trinity southern university', u'#walden university', u'#realestate']",3949,3372,"March 24, 2008"
"used as a slang term to describe something with a conflict of interest, much like it would be a conflict of interest to hire a dingo to babysit your infant while you leave the house. In this situation the dingo has a contrast of interest and will most likely NOT do a good job babysitting your infant.This term was first used on the popular HBO show, last week tonight with John Oliver.",calling dingo,24angryMexicansInaWallmart,"[u'#conflict of interest', u'#hbo', u'#john oliver', u'#last week tonight', u'#contradictory', u'#bad idea', u'#are you fucking kidding me']",1830,883,"August 11, 2014"
relating to or denoting circumstances in which objective facts are less important in shaping public opinion than emotional or personal beliefs.,post-truth,P-but,[],2410,676,"November 16, 2016"
"The default drink one orders when unfamiliar with the drink options, or not ready to order.",Panic drink,jurbonefracker,"[u'#drink', u'#panic', u'#bar', u'#order', u'#bartender']",3001,524,"November 18, 2016"
Screw things up for yourself.  Let yourself down.  Betray yourself by acting in a way that's opposite to your own interests or (conscious) intentions.,played myself,multi-wall,"[u'#play myself', u'#played myself', u'#play yourself', u'#play someone out', u'#play me out']",2536,591,"June 30, 2008"
"When a man mansplains what ""mansplaining"" means.",manmansplaining,Ae5Ea8,[u'#mansplaining mansplain'],1284,4424,"November 14, 2016"
"A person who performs ""special tasks"" for Emperor Palpatine of the Galactic Empire. Mara Jade was a known Hand.",Emperor's Hand,Nom Anor,"[u'#consort', u'#assassin', u'#concubine', u'#whore', u'#dark jedi slut']",1435,1193,"June 17, 2008"
"A corrupt governmental body made up of thieves, also sullied by nepotism and croneyism.",Kleptocracy,ghost3x7,"[u'#klepto', u'#judge executive', u'#district magistrate', u'#thieving politician', u'#boss hogg']",2709,754,"April 20, 2009"
"A giant, unavoidable bowel movement whose aftermath can clear an entire house and leaves its shocked victims in a mood as foul as its odor.",tronald dump,Bogrimm,"[u'#donald', u'#trump', u'#shit', u'#poop', u'#president', u'#bowel', u'#feces']",5636,4235,"November 12, 2016"
The act of grabbing a girl by the vagina,Trumpalingus,Why the hell not,"[u'#trump', u'#vagina', u'#sex', u'#election', u'#skirt', u'#grab', u'#cuntalingus']",5565,4435,"November 11, 2016"
From the slang own: to own self.,Self-own,Vex,[],1029,2368,"December 20, 2004"
"When everything that can go wrong , goes wrong.",Feeling 2016,Nicolaeesi Targaryen ,"[u'#2016', u'#work', u'#boss']",6041,2825,"November 09, 2016"
"A feeling typically associated with dread,night terrors and flashbacks from the presidential election results.",Post-Trump Stress Disorder,NamedoneLetterE ,"[u'#trump', u'#election', u'#president', u'#ptsd']",7710,5068,"November 09, 2016"
"Doing something very stupid, like when America voted for Trump to be the president.",Pulling An America,Rico Ravioli,[u'#stupid trump america no stop'],9555,8970,"November 09, 2016"
The punishment or fate a society deserves to receive.,Trumpence,Stehako,"[u'#trump', u'#pence', u'#comeuppance', u'#donald trump', u'#idiocracy']",8765,8732,"July 15, 2016"
"The feeling you have the day after an election, because you stayed up late trying to find out the results.",Election hangover,Nemo6969,"[u'#obamitis', u'#hangover', u'#tiredness', u'#anxiety', u'#fretfullness']",7673,1709,"November 03, 2010"
A controversial process of extracting otherwise-secret information from a friend or co-worker by getting them drunk and thereby loosening their control on their tongue. ,beerboarding,Nathan Montague and Claudia Wheatley,"[u'#interrogation', u'#confidence', u'#waterboarding', u'#torture', u'#secrets']",8395,1442,"June 23, 2008"
Term coined for the Bromance between Olympic swimmers Ryan Lochte and Michael Phelps. ,Phlochte,agape_eternal,"[u'#bromance', u'#romance', u'#gay', u'#phelochte', u'#love']",1249,2530,"March 24, 2009"
"A male cougar.  Single, usually divorced, and at a minimum 10 years older than a cougar.",manther,Wes Tent,[],2760,2649,"April 29, 2004"
"Droplifting is the opposite of shoplifting; it involves leaving a product or item in a shop, rather than taking one.  It has been used by artists and musicians to promote their work for free, whilst some people use droplifting to make political or economic statements. (for example by altering shop's products and then returning them)",droplifting,PH,"[u'#droplifter', u'#droplifted', u'#shoplifting', u'#shoplift', u'#droplift', u'#shoplifted']",2589,631,"December 03, 2005"
A former lesbian who is now in a heterosexual relationship.,Hasbian,Anonymous,[],4887,1152,"August 19, 2003"
"The factor by which a male's hottness increases when he's in his uniform.  On a scale of one to ten, a uniform usually increases a guy's number by 2.  Can also be applied to non-military men in some uniforms.",military factor,Katie Holmes,[],1926,1106,"April 07, 2005"
"A dog that lays on its back with all four legs in the air--like a dead cockroach--is commonly described as ""roaching.""",roaching,ECGM,"[u'#dog', u'#sleeping', u'#relaxed', u'#legs', u'#back']",2123,1184,"October 16, 2005"
"A nap taken after someone has consumed any amount of caffeine    (i.e. coffee) resulting not in sleep, but blissful rest, while still mildly conscious.",coffee nap,KMFD,"[u'#caffenap', u'#tea nap', u'#not-a-nap', u'#awakebutasleep', u'#napornot']",3681,4106,"September 24, 2007"
y u mad,¯\_(ツ)_/¯,prodddd,"[u'#umad', u'#\xaf\\(\u30c4)/\xaf', u'#ascii face', u'#starcraft', u'#destiny', u'#\xaf\\_(\u30c4)_/\xaf']",11135,7564,"June 20, 2011"
"A comment on a Facebook item (e.g. status, note, etc) that was removed by the author due to A) misspelling, B) stupid remark, C) awkward input, or D) other. The result is typically confusion and several wasted minutes on the part of the one who was commented on or anyone who posted previously.",ghost post,Facebook Steals Precious Hours,"[u'#embarrassing', u'#stupid', u'#remarks', u'#comment', u'#facebook']",5195,6230,"April 23, 2009"
"when you want someone to do something, take your phone and say ""do it for the vine"" while recording him, then he'll do it because of the ""social"" pressure.",Do it for the vine!,lebecthebec,"[u'#you have to', u'#do it', u'#network', u'#social', u'#wiggle']",1283,1182,"May 15, 2014"
One who is completely lacking movie knowledge.,Cinematard,Peenwhistle,"[u'#movies', u'#movietard', u'#cinema master', u'#theater nerd', u'#living under a rock']",3961,1930,"April 25, 2006"
1. An phrase overused by those trying to sound sophisticated and/or intelligent.2. A phrase used frequently by Tobias Bluth from Arrested Development.,If you will,Antonym Phantonym,"[u'#if', u'#you', u'#will', u'#annoying', u'#overused']",6464,2602,"May 18, 2009"
To thoroughly clean one's teeth before visiting the dentist for a teeth cleaning.,precrestination,The Wads,"[u'#pre-clean', u'#teeth', u'#cleaning', u'#dentist', u'#procrastination']",8188,3664,"January 24, 2007"
"1. an exclamation used when you want to punctuate/emphasize an obvious or insulting quip or action2. an exclamation highlighting something you did not know until then3. a personal reminder",note to self,Kommando,[],1935,614,"July 08, 2004"
